
101A English              Period 1
  Owen Madden  (223)
  Penelope Daughtler  (227)
  Raelynn Caskcut  (191)
  Ryan Poverly  (176)
  Willow Sagespark  (134)
Student Count 20

203F Biology 2            Period 3
  Adam Keller  (133)
  Adam Lopez  (207)
  Angel Fleet  (238)
  Anthony Gannon  (128)
  Bennett Sagespark  (231)
  Eli Kicklighter  (147)
  Elias Amos  (173)
  Elias Ashley  (233)
  Elizabeth Bardot  (138)
  Ezekiel Kicklighter  (162)
  Greyson Beckett  (130)
  Lillian Fleet  (132)
  Madelyn Jenkins  (244)
  Mia Sharpe  (174)
  Nathan Huxley  (217)
  Victoria Caskcut  (221)
  Victoria Finnegan  (245)
  Walker Sharpe  (155)
  Xavier Sharpe  (210)
  Zoey Gorestriker  (248)
Student Count 20

203G Biology 2            Period 5
  Adeline Hydrafist  (212)
  Ayla Carter  (249)
  Brooks Caddel  (129)
  Chloe Adler  (163)
  Easton Ashley  (185)
  Eloise Dagon  (178)
  Gabriella Adair  (193)
  Greyson Adler  (202)
  Ivy Solace  (144)
  Jack Gonzales  (175)
  Jayden Beam  (203)
  Lydia Dustfinger  (148)
  Mateo Jenkins  (200)
  Maverick Thatcher  (192)
  Parker Undergrove  (156)
  Victoria Elrod  (146)
  Weston Hansley  (183)
Student Count 17

204A US Government        Period 5
  Adam Lopez  (207)
  Angel Gorestriker  (140)
  Athena Gonzales  (239)
  Ava Lennon  (194)
  Brooklyn Undergrove  (234)
  Brooks Gasper  (235)
  Brooks Marley  (195)
  Charlotte Gasper  (208)
  Eleanor Hendrix  (243)
  Eli Hendrix  (229)
  Everleigh Gray  (224)
  Greyson Beckett  (130)
  Jacob Gonzales  (189)
  Jordan Vespertine  (232)
  Maya Ashbluff  (160)
  Walker Sharpe  (155)
Student Count 16

204B US Government        Period 7
  Aaron Keller  (242)
  Audrey Madden  (149)
  Cora Hansley  (187)
  Eloise Adams  (213)
  Genesis Truthbelly  (186)
  Greyson Adler  (202)
  Jack Gonzales  (175)
  Josiah Daughtler  (218)
  Logan Elsher  (209)
  Luna West  (165)
  Lydia Dustfinger  (148)
  Victoria Caskcut  (221)
  Wesley Finch  (225)
  Willow Sagespark  (134)
  Xavier Sharpe  (210)
  Zoey Beam  (236)
  Zoey Gorestriker  (248)
Student Count 17

204C US Government        Period 6
  Adeline Hydrafist  (212)
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Daniel Beckett  (220)
  Eli Kicklighter  (147)
  Elias Ashley  (233)
  John Strongblossom  (205)
  Jordan Spade  (197)
  Lillian Fleet  (132)
  Mia Sharpe  (174)
  Miles Gasper  (154)
  Nathan Adair  (241)
  Nora Gorestriker  (131)
  Parker Undergrove  (156)
  Theodore Fellowes  (206)
Student Count 15

204D US Government        Period 4
  Anna Spade  (172)
  Aurora Spade  (139)
  Brooks Caddel  (129)
  Chloe Adler  (163)
  Easton Ashley  (185)
  Elena Moses  (199)
  Emery Windward  (190)
  Jayden Beam  (203)
  Levi Bardot  (219)
  Mateo Beckett  (167)
  Mateo Jenkins  (200)
  Naomi Mintz  (215)
  Owen Madden  (223)
  Raelynn Caskcut  (191)
  Riley Madden  (152)
  Weston Hansley  (183)
  Xavier Hendrix  (211)
  Xavier Humblecut  (198)
Student Count 18

204E US Government        Period 2
  Alice Crawford  (177)
  Anthony Gannon  (128)
  Ayla Carter  (249)
  Beau Ashford  (247)
  Bennett Sagespark  (231)
  Elias Amos  (173)
  Elias Beckett  (153)
  Elizabeth Bardot  (138)
  Emily Bardot  (142)
  Ezekiel Kicklighter  (162)
  James Curran  (196)
  Kennedy Hart  (237)
  Liliana Carter  (171)
  Maverick Thatcher  (192)
  Maya James  (188)
  Nathan Huxley  (217)
  Owen Ashford  (201)
  Penelope Daughtler  (227)
  Victoria Finnegan  (245)
Student Count 19

204F US Government        Period 1
  Adam Keller  (133)
  Anthony Strongblossom  (181)
  Athena Woodgrip  (168)
  Benjamin Cyprus  (127)
  Cooper Carter  (179)
  Cooper Solace  (169)
  Everett Poverly  (182)
  Gabriella Adair  (193)
  Ivy Solace  (144)
  Josephine Strongblossom  (145)
  Joshua Yearwood  (204)
  Lydia Gasper  (143)
  Madelyn Jenkins  (244)
  Mateo Adair  (230)
  Maverick Spade  (136)
  Oliver Ashbluff  (240)
  Owen Remington  (151)
  Ruby Hydrafist  (137)
  Ryan Elrod  (164)
  Thomas Gray  (141)
Student Count 20

204G US Government        Period 3
  Aaliyah Langley  (214)
  Aubrey James  (216)
  Claire Biddercombe  (157)
  Cooper Wixx  (226)
  Elijah Madden  (161)
  Ella Hart  (166)
  Ellie Ellis  (250)
  Eloise Dagon  (178)
  Everly Cassidy  (170)
  Ezra Vespertine  (126)
  Isabella Woodgrip  (222)
  Jack Beckett  (228)
  Jonathan Gray  (159)
  Josephine Barlowe  (246)
  Julian Undergrove  (180)
  Mila Crassus  (184)
  Ryan Poverly  (176)
  Serenity Carter  (135)
  Victoria Elrod  (146)
  Weston Truthbelly  (158)
Student Count 20

211A French 2             Period 1
  Aaron Keller  (242)
  Ava Lennon  (194)
  Brooklyn Undergrove  (234)
  Cooper Wixx  (226)
  Eloise Dagon  (178)
  Everly Cassidy  (170)
  Ezra Vespertine  (126)
  Greyson Adler  (202)
  Greyson Beckett  (130)
  Josiah Daughtler  (218)
  Victoria Elrod  (146)
  Xavier Humblecut  (198)
Student Count 12

211B French 2             Period 5
  Aaliyah Langley  (214)
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Ellie Ellis  (250)
  Emery Windward  (190)
  Emily Bardot  (142)
  Everett Poverly  (182)
  Ezekiel Kicklighter  (162)
  Genesis Truthbelly  (186)
  Isabella Woodgrip  (222)
  Josephine Barlowe  (246)
  Mateo Adair  (230)
  Mia Sharpe  (174)
  Miles Gasper  (154)
  Theodore Fellowes  (206)
  Weston Truthbelly  (158)
  Willow Sagespark  (134)
  Xavier Sharpe  (210)
Student Count 20

212A Spanish 2            Period 2
  Aaliyah Langley  (214)
  Ellie Ellis  (250)
  Eloise Dagon  (178)
  Emery Windward  (190)
  Everett Poverly  (182)
  Genesis Truthbelly  (186)
  Greyson Adler  (202)
  Isabella Woodgrip  (222)
  Josiah Daughtler  (218)
  Mateo Adair  (230)
  Theodore Fellowes  (206)
  Weston Truthbelly  (158)
  Xavier Humblecut  (198)
  Xavier Sharpe  (210)
Student Count 14

212B Spanish 2            Period 4
  Aaron Keller  (242)
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Ava Lennon  (194)
  Brooklyn Undergrove  (234)
  Cooper Wixx  (226)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Emily Bardot  (142)
  Everly Cassidy  (170)
  Ezekiel Kicklighter  (162)
  Ezra Vespertine  (126)
  Greyson Beckett  (130)
  Josephine Barlowe  (246)
  Mia Sharpe  (174)
  Miles Gasper  (154)
  Victoria Elrod  (146)
  Willow Sagespark  (134)
Student Count 18

213A Latin 2              Period 1
  Aaliyah Langley  (214)
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Ezekiel Kicklighter  (162)
  Isabella Woodgrip  (222)
  Mia Sharpe  (174)
  Miles Gasper  (154)
  Theodore Fellowes  (206)
  Weston Truthbelly  (158)
  Xavier Sharpe  (210)
Student Count 12

213B Latin 2              Period 6
  Aaron Keller  (242)
  Ava Lennon  (194)
  Brooklyn Undergrove  (234)
  Cooper Wixx  (226)
  Ellie Ellis  (250)
  Eloise Dagon  (178)
  Emery Windward  (190)
  Emily Bardot  (142)
  Everett Poverly  (182)
  Everly Cassidy  (170)
  Ezra Vespertine  (126)
  Genesis Truthbelly  (186)
  Greyson Adler  (202)
  Greyson Beckett  (130)
  Josephine Barlowe  (246)
  Josiah Daughtler  (218)
  Mateo Adair  (230)
  Victoria Elrod  (146)
  Willow Sagespark  (134)
  Xavier Humblecut  (198)
Student Count 20

301A Composition          Period 7
  Anna Madden  (329)
  Aria Biddercombe  (266)
  Charles Ledger  (261)
  Chloe Undergrove  (322)
  Cora Wilson  (292)
  Daniel Katz  (330)
  Eloise Gonzales  (338)
  Ezra Spade  (324)
  Grace James  (372)
  Hazel Fellowes  (262)
  Ian Crassus  (272)
  Isabella Windward  (364)
  Jacob Huxley  (315)
  Kinsley Truthbelly  (345)
  Savannah Hope  (313)
  Theo Jenkins  (317)
  Valentina Mintz  (269)
  Walker Gasper  (362)
  Walker Verlice  (334)
  William Hydrafist  (303)
Student Count 20

301B Composition          Period 2
  Andrew Elsher  (260)
  Anna Beckett  (341)
  Caroline Ashbluff  (332)
  Caroline Wixx  (361)
  Daniel Crassus  (340)
  Emery Langley  (300)
  Emery Monroe  (346)
  Emilia Ashbluff  (373)
  Gabriel Adler  (375)
  Lincoln Adams  (353)
  Luke Gorestriker  (297)
  Mateo Anderson  (355)
  Mila Bozzelli  (274)
  Parker Ashford  (354)
  Ryan Laurier  (327)
  Wesley Adler  (278)
Student Count 16

301C Composition          Period 1
  Adam Finch  (320)
  Ayla Fellowes  (331)
  Bella Poverly  (309)
  Cora Beam  (268)
  Everly Langley  (371)
  Gianna Stoll  (259)
  Greyson Beam  (252)
  Henry Marblemaw  (296)
  Iris Marley  (339)
  Isaac Remington  (275)
  Jaxon Moses  (349)
  Matthew Adair  (323)
  Mila Thatcher  (306)
  Nicholas Gatlin  (325)
  Oliver Yarrow  (335)
  Waylon Driscoll  (350)
  Zoey Beckett  (282)
Student Count 17

301D Composition          Period 4
  Asher Madden  (316)
  Caroline James  (314)
  Elena Poverly  (356)
  Gabriel Undergrove  (277)
  Isaac Collymore  (302)
  Isabella Moses  (363)
  Isaiah Oatrun  (328)
  Jordan Hart  (311)
  Kinsley Ford  (291)
  Leonardo Wilson  (367)
  Lucas Dagon  (360)
  Lucas Pierce  (321)
  Luke Gorestriker  (263)
  Mason Elrod  (359)
  Mateo Crassus  (351)
  Micah Hansley  (337)
  Savannah Dagon  (255)
  Sebastian Driscoll  (326)
  Violet Elrod  (369)
  Waylon Biddercombe  (304)
Student Count 20

301E Composition          Period 5
  Adrian Anderson  (310)
  Bennett Sharpe  (289)
  Brooks Poverly  (357)
  Cameron James  (258)
  Chloe Humblecut  (347)
  Ella Lopez  (370)
  Ella Moses  (279)
  Jade West  (342)
  John Curran  (368)
  Nevaeh Hayes  (253)
  Violet Snakeleaf  (270)
  Waylon Keller  (294)
Student Count 12

301F Composition          Period 6
  Adam Keller  (287)
  Colton Beckett  (366)
  Colton Ellis  (284)
  Daniel Wixx  (307)
  Delilah Crassus  (293)
  Ella Thatcher  (305)
  Ezra Curran  (283)
  Ivy Stoll  (254)
  Josiah Elrod  (251)
  Landon Ashbluff  (265)
  Luca Remington  (344)
  Mia Cassidy  (312)
  Mia Gatlin  (352)
  Nathan Sagespark  (264)
  Nora Adams  (298)
  Paisley Hope  (308)
  Penelope Truthbelly  (280)
  Riley Verlice  (318)
  Skylar Lightfoot  (256)
  Theo Caskcut  (285)
Student Count 20

301G Composition          Period 3
  Aiden Sagespark  (319)
  Anna Remington  (288)
  Autumn Thatcher  (286)
  Caleb Gray  (301)
  Cora Gray  (336)
  Easton Vespertine  (257)
  Ezekiel Hope  (267)
  Gianna Zimmerman  (374)
  Hudson Gonzales  (365)
  Isla Lopez  (276)
  Lucy Zimmerman  (299)
  Madison Thatcher  (358)
  Mia Wilson  (343)
  Nicholas Lennon  (273)
  Nicholas Undergrove  (281)
  Noah Ashford  (348)
  Samuel Adair  (333)
  Sofia Raven  (295)
  Sophia Lennon  (290)
  Victoria Stoll  (271)
Student Count 20

302A Geometry             Period 7
  Adrian Anderson  (310)
  Caroline Ashbluff  (332)
  Caroline James  (314)
  Colton Ellis  (284)
  Ella Lopez  (370)
  Emilia Ashbluff  (373)
  Gabriel Undergrove  (277)
  Henry Marblemaw  (296)
  Iris Marley  (339)
  Isaiah Oatrun  (328)
  John Curran  (368)
  Matthew Adair  (323)
  Mia Gatlin  (352)
  Mila Bozzelli  (274)
  Oliver Yarrow  (335)
  Paisley Hope  (308)
  Waylon Biddercombe  (304)
  Waylon Driscoll  (350)
  Zoey Beckett  (282)
Student Count 19

302B Geometry             Period 4
  Adam Keller  (287)
  Andrew Elsher  (260)
  Anna Remington  (288)
  Colton Beckett  (366)
  Easton Vespertine  (257)
  Eloise Gonzales  (338)
  Ezekiel Hope  (267)
  Hazel Fellowes  (262)
  Isabella Windward  (364)
  Isla Lopez  (276)
  Jaxon Moses  (349)
  Josiah Elrod  (251)
  Lincoln Adams  (353)
  Luca Remington  (344)
  Nathan Sagespark  (264)
  Theo Jenkins  (317)
  Victoria Stoll  (271)
  Walker Gasper  (362)
  Waylon Keller  (294)
  William Hydrafist  (303)
Student Count 20

302C Geometry             Period 6
  Asher Madden  (316)
  Brooks Poverly  (357)
  Chloe Humblecut  (347)
  Daniel Katz  (330)
  Everly Langley  (371)
  Gabriel Adler  (375)
  Gianna Stoll  (259)
  Hudson Gonzales  (365)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Mateo Anderson  (355)
  Nevaeh Hayes  (253)
  Nicholas Gatlin  (325)
  Nicholas Lennon  (273)
  Ryan Laurier  (327)
  Savannah Dagon  (255)
Student Count 16

302D Geometry             Period 1
  Anna Beckett  (341)
  Autumn Thatcher  (286)
  Bennett Sharpe  (289)
  Caleb Gray  (301)
  Charles Ledger  (261)
  Chloe Undergrove  (322)
  Ella Moses  (279)
  Emery Langley  (300)
  Ezra Spade  (324)
  Kinsley Ford  (291)
  Kinsley Truthbelly  (345)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (263)
  Luke Gorestriker  (297)
  Madison Thatcher  (358)
  Nicholas Undergrove  (281)
  Samuel Adair  (333)
  Sofia Raven  (295)
  Walker Verlice  (334)
  Wesley Adler  (278)
Student Count 20

302E Geometry             Period 5
  Aiden Sagespark  (319)
  Ayla Fellowes  (331)
  Caroline Wixx  (361)
  Cora Wilson  (292)
  Daniel Crassus  (340)
  Daniel Wixx  (307)
  Ella Thatcher  (305)
  Gianna Zimmerman  (374)
  Jacob Huxley  (315)
  Lucas Pierce  (321)
  Nora Adams  (298)
  Parker Ashford  (354)
  Savannah Hope  (313)
  Sophia Lennon  (290)
  Valentina Mintz  (269)
Student Count 15

302F Geometry             Period 2
  Aria Biddercombe  (266)
  Cora Beam  (268)
  Cora Gray  (336)
  Delilah Crassus  (293)
  Elena Poverly  (356)
  Grace James  (372)
  Greyson Beam  (252)
  Isaac Remington  (275)
  Jordan Hart  (311)
  Lucas Dagon  (360)
  Mia Wilson  (343)
  Micah Hansley  (337)
  Mila Thatcher  (306)
  Noah Ashford  (348)
  Penelope Truthbelly  (280)
  Sebastian Driscoll  (326)
  Violet Snakeleaf  (270)
Student Count 17

302G Geometry             Period 3
  Adam Finch  (320)
  Anna Madden  (329)
  Bella Poverly  (309)
  Cameron James  (258)
  Emery Monroe  (346)
  Ezra Curran  (283)
  Ian Crassus  (272)
  Isaac Collymore  (302)
  Isabella Moses  (363)
  Ivy Stoll  (254)
  Jade West  (342)
  Landon Ashbluff  (265)
  Mateo Crassus  (351)
  Mia Cassidy  (312)
  Riley Verlice  (318)
  Skylar Lightfoot  (256)
  Theo Caskcut  (285)
  Violet Elrod  (369)
Student Count 18

303A Chemistry            Period 1
  Adrian Anderson  (310)
  Caroline Ashbluff  (332)
  Chloe Humblecut  (347)
  Daniel Wixx  (307)
  Delilah Crassus  (293)
  Ella Lopez  (370)
  Eloise Gonzales  (338)
  Emilia Ashbluff  (373)
  Gabriel Adler  (375)
  Jacob Huxley  (315)
  Jordan Hart  (311)
  Mateo Crassus  (351)
  Mia Wilson  (343)
  Nicholas Lennon  (273)
  Penelope Truthbelly  (280)
  Riley Verlice  (318)
  Ryan Laurier  (327)
  Theo Caskcut  (285)
  Victoria Stoll  (271)
  Walker Gasper  (362)
Student Count 20

303B Chemistry            Period 7
  Andrew Elsher  (260)
  Daniel Crassus  (340)
  Gianna Zimmerman  (374)
  Jade West  (342)
  Lucas Pierce  (321)
  Micah Hansley  (337)
  Nora Adams  (298)
  Skylar Lightfoot  (256)
  Violet Elrod  (369)
Student Count 9

303C Chemistry            Period 6
  Bennett Sharpe  (289)
  Cameron James  (258)
  Charles Ledger  (261)
  Chloe Undergrove  (322)
  Cora Beam  (268)
  Cora Gray  (336)
  Emery Langley  (300)
  Ezra Spade  (324)
  Gabriel Undergrove  (277)
  Hazel Fellowes  (262)
  Isaac Collymore  (302)
  Isaac Remington  (275)
  Lucas Dagon  (360)
  Lucy Zimmerman  (299)
  Noah Ashford  (348)
  Parker Ashford  (354)
  Sebastian Driscoll  (326)
  Valentina Mintz  (269)
  Waylon Driscoll  (350)
  Zoey Beckett  (282)
Student Count 20

303D Chemistry            Period 3
  Anna Beckett  (341)
  Asher Madden  (316)
  Ayla Fellowes  (331)
  Brooks Poverly  (357)
  Caroline Wixx  (361)
  Elena Poverly  (356)
  Greyson Beam  (252)
  Isabella Windward  (364)
  Isaiah Oatrun  (328)
  Jaxon Moses  (349)
  Lincoln Adams  (353)
  Luca Remington  (344)
  Luke Gorestriker  (263)
  Mateo Anderson  (355)
  Mila Thatcher  (306)
  Nathan Sagespark  (264)
  Nevaeh Hayes  (253)
  Violet Snakeleaf  (270)
  Waylon Keller  (294)
  Wesley Adler  (278)
Student Count 20

303E Chemistry            Period 4
  Adam Finch  (320)
  Aiden Sagespark  (319)
  Anna Madden  (329)
  Aria Biddercombe  (266)
  Caleb Gray  (301)
  Colton Ellis  (284)
  Ella Moses  (279)
  Emery Monroe  (346)
  Ezra Curran  (283)
  Henry Marblemaw  (296)
  Iris Marley  (339)
  Ivy Stoll  (254)
  John Curran  (368)
  Kinsley Truthbelly  (345)
  Luke Gorestriker  (297)
  Mia Cassidy  (312)
  Mila Bozzelli  (274)
  Oliver Yarrow  (335)
  Samuel Adair  (333)
  Sofia Raven  (295)
Student Count 20

303F Chemistry            Period 5
  Bella Poverly  (309)
  Caroline James  (314)
  Colton Beckett  (366)
  Everly Langley  (371)
  Gianna Stoll  (259)
  Grace James  (372)
  Hudson Gonzales  (365)
  Isabella Moses  (363)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Landon Ashbluff  (265)
  Leonardo Wilson  (367)
  Madison Thatcher  (358)
  Mason Elrod  (359)
  Nicholas Undergrove  (281)
  Paisley Hope  (308)
Student Count 16

303G Chemistry            Period 2
  Adam Keller  (287)
  Anna Remington  (288)
  Autumn Thatcher  (286)
  Cora Wilson  (292)
  Daniel Katz  (330)
  Easton Vespertine  (257)
  Ella Thatcher  (305)
  Ezekiel Hope  (267)
  Ian Crassus  (272)
  Isla Lopez  (276)
  Matthew Adair  (323)
  Mia Gatlin  (352)
  Nicholas Gatlin  (325)
  Savannah Dagon  (255)
  Savannah Hope  (313)
  Sophia Lennon  (290)
  Theo Jenkins  (317)
  Walker Verlice  (334)
  Waylon Biddercombe  (304)
  William Hydrafist  (303)
Student Count 20

304A World History        Period 6
  Adam Finch  (320)
  Aria Biddercombe  (266)
  Bella Poverly  (309)
  Cora Wilson  (292)
  Elena Poverly  (356)
  Ella Moses  (279)
  Eloise Gonzales  (338)
  Emery Monroe  (346)
  Ezekiel Hope  (267)
  Gianna Zimmerman  (374)
  Grace James  (372)
  Isabella Windward  (364)
  Isla Lopez  (276)
  Jade West  (342)
  Luke Gorestriker  (263)
  Luke Gorestriker  (297)
  Sophia Lennon  (290)
  Waylon Biddercombe  (304)
  Wesley Adler  (278)
  William Hydrafist  (303)
Student Count 20

304B World History        Period 1
  Adam Keller  (287)
  Aiden Sagespark  (319)
  Andrew Elsher  (260)
  Caroline James  (314)
  Caroline Wixx  (361)
  Ezra Curran  (283)
  Ian Crassus  (272)
  Isaac Collymore  (302)
  Isabella Moses  (363)
  Ivy Stoll  (254)
  Leonardo Wilson  (367)
  Mateo Anderson  (355)
  Savannah Dagon  (255)
  Savannah Hope  (313)
  Valentina Mintz  (269)
  Violet Elrod  (369)
  Violet Snakeleaf  (270)
Student Count 17

304C World History        Period 7
  Asher Madden  (316)
  Autumn Thatcher  (286)
  Brooks Poverly  (357)
  Cameron James  (258)
  Colton Beckett  (366)
  Cora Beam  (268)
  Daniel Wixx  (307)
  Gabriel Adler  (375)
  Greyson Beam  (252)
  Hudson Gonzales  (365)
  Jordan Hart  (311)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Madison Thatcher  (358)
  Mason Elrod  (359)
  Mia Cassidy  (312)
  Mila Thatcher  (306)
  Riley Verlice  (318)
Student Count 18

304D World History        Period 3
  Adrian Anderson  (310)
  Caroline Ashbluff  (332)
  Chloe Humblecut  (347)
  Daniel Crassus  (340)
  Ella Thatcher  (305)
  Emilia Ashbluff  (373)
  Everly Langley  (371)
  Ezra Spade  (324)
  Hazel Fellowes  (262)
  Henry Marblemaw  (296)
  John Curran  (368)
  Lucas Pierce  (321)
  Micah Hansley  (337)
  Mila Bozzelli  (274)
  Paisley Hope  (308)
  Ryan Laurier  (327)
  Theo Jenkins  (317)
  Walker Gasper  (362)
Student Count 18

304E World History        Period 5
  Anna Beckett  (341)
  Anna Remington  (288)
  Charles Ledger  (261)
  Colton Ellis  (284)
  Daniel Katz  (330)
  Delilah Crassus  (293)
  Easton Vespertine  (257)
  Iris Marley  (339)
  Isaiah Oatrun  (328)
  Jaxon Moses  (349)
  Lincoln Adams  (353)
  Luca Remington  (344)
  Lucas Dagon  (360)
  Nathan Sagespark  (264)
  Nicholas Gatlin  (325)
  Nicholas Lennon  (273)
  Samuel Adair  (333)
  Sebastian Driscoll  (326)
  Sofia Raven  (295)
  Walker Verlice  (334)
Student Count 20

304F World History        Period 2
  Anna Madden  (329)
  Caleb Gray  (301)
  Chloe Undergrove  (322)
  Ella Lopez  (370)
  Gabriel Undergrove  (277)
  Kinsley Truthbelly  (345)
  Landon Ashbluff  (265)
  Mateo Crassus  (351)
  Nora Adams  (298)
  Oliver Yarrow  (335)
  Victoria Stoll  (271)
  Waylon Keller  (294)
Student Count 12

304G World History        Period 4
  Ayla Fellowes  (331)
  Bennett Sharpe  (289)
  Cora Gray  (336)
  Emery Langley  (300)
  Gianna Stoll  (259)
  Isaac Remington  (275)
  Jacob Huxley  (315)
  Lucy Zimmerman  (299)
  Matthew Adair  (323)
  Mia Gatlin  (352)
  Mia Wilson  (343)
  Nevaeh Hayes  (253)
  Nicholas Undergrove  (281)
  Noah Ashford  (348)
  Parker Ashford  (354)
  Penelope Truthbelly  (280)
  Skylar Lightfoot  (256)
  Theo Caskcut  (285)
  Waylon Driscoll  (350)
  Zoey Beckett  (282)
Student Count 20

311A French 3             Period 2
  Aiden Sagespark  (319)
  Ayla Fellowes  (331)
  Chloe Humblecut  (347)
  Daniel Wixx  (307)
  Ella Moses  (279)
  Everly Langley  (371)
  Gianna Stoll  (259)
  Iris Marley  (339)
  Isabella Moses  (363)
  Jacob Huxley  (315)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Leonardo Wilson  (367)
  Lucy Zimmerman  (299)
  Mason Elrod  (359)
  Sofia Raven  (295)
Student Count 16

311B French 3             Period 5
  Adam Keller  (287)
  Ezekiel Hope  (267)
  Ezra Curran  (283)
  Gabriel Adler  (375)
  Isaac Remington  (275)
  Jordan Hart  (311)
  Luke Gorestriker  (263)
  Mateo Anderson  (355)
  Mateo Crassus  (351)
  Matthew Adair  (323)
  Mia Wilson  (343)
  Oliver Yarrow  (335)
  Ryan Laurier  (327)
  Savannah Dagon  (255)
  Victoria Stoll  (271)
  William Hydrafist  (303)
Student Count 16

312A Spanish 3            Period 3
  Adam Keller  (287)
  Daniel Wixx  (307)
  Ella Moses  (279)
  Gabriel Adler  (375)
  Iris Marley  (339)
  Isaac Remington  (275)
  Jacob Huxley  (315)
  Jordan Hart  (311)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Mason Elrod  (359)
  Matthew Adair  (323)
  Oliver Yarrow  (335)
  Savannah Dagon  (255)
  William Hydrafist  (303)
Student Count 15

312B Spanish 3            Period 7
  Aiden Sagespark  (319)
  Ayla Fellowes  (331)
  Chloe Humblecut  (347)
  Everly Langley  (371)
  Ezekiel Hope  (267)
  Ezra Curran  (283)
  Gianna Stoll  (259)
  Isabella Moses  (363)
  Leonardo Wilson  (367)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (263)
  Mateo Anderson  (355)
  Mateo Crassus  (351)
  Mia Wilson  (343)
  Ryan Laurier  (327)
  Sofia Raven  (295)
  Victoria Stoll  (271)
Student Count 17

313A Latin 3              Period 5
  Adam Finch  (320)
  Andrew Elsher  (260)
  Asher Madden  (316)
  Caroline Ashbluff  (332)
  Cora Beam  (268)
  Emery Langley  (300)
  Ezra Spade  (324)
  Greyson Beam  (252)
  Henry Marblemaw  (296)
  Ian Crassus  (272)
  Isla Lopez  (276)
  Mia Cassidy  (312)
  Mia Gatlin  (352)
  Noah Ashford  (348)
  Penelope Truthbelly  (280)
  Skylar Lightfoot  (256)
  Waylon Biddercombe  (304)
Student Count 17

313B Latin 3              Period 1
  Anna Remington  (288)
  Colton Ellis  (284)
  Cora Gray  (336)
  Cora Wilson  (292)
  Daniel Crassus  (340)
  Elena Poverly  (356)
  Grace James  (372)
  Isabella Windward  (364)
  Isaiah Oatrun  (328)
  John Curran  (368)
  Luca Remington  (344)
  Lucas Dagon  (360)
  Nathan Sagespark  (264)
  Paisley Hope  (308)
Student Count 14

401A Speech               Period 3
  Audrey Lopez  (386)
  Dylan Gorestriker  (393)
  Gabriella Beam  (436)
  Gianna Caddel  (480)
  Grayson Gannon  (490)
  James Cassidy  (488)
  James Humblecut  (387)
  Josephine Yarrow  (424)
  Kai Ashbluff  (391)
  Kennedy Yarrow  (498)
  Leo Daughtler  (413)
  Liam Windward  (408)
  Lily Hendrix  (384)
  Matthew Madison  (440)
  Nevaeh Cyprus  (494)
  Roman Anderson  (404)
  Santiago Kicklighter  (409)
  Scarlett Cassidy  (442)
  Serenity Lightfoot  (411)
  Victoria Gorestriker  (378)
Student Count 20

401B Speech               Period 5
  Athena Bozzelli  (495)
  Aubrey Kicklighter  (477)
  Avery Dustfinger  (455)
  Charlotte Whitlock  (435)
  Evelyn Madison  (425)
  Ian Adler  (456)
  Jackson Kicklighter  (432)
  John Langley  (464)
  Joseph Mintz  (471)
  Kennedy Ashbluff  (450)
  Leonardo Sagespark  (454)
  Lucas Hope  (468)
  Maria Cyprus  (469)
  Mateo Hart  (407)
  Raelynn Keller  (483)
  Ruby Adler  (402)
  Sophie October  (482)
Student Count 17

401C Speech               Period 7
  Adeline Thatcher  (428)
  Ayla James  (489)
  Cameron Dawson  (429)
  Charles Truthbelly  (458)
  Delilah Fellowes  (475)
  Delilah Vespertine  (443)
  Eleanor Singh  (470)
  Eliana Whitlock  (385)
  Grayson Ashbluff  (430)
  Jackson Laurier  (446)
  Jaxon Yearwood  (403)
  Kinsley Windward  (447)
  Paisley Ledger  (381)
  Sophia Crawford  (400)
  Sophie Marley  (421)
  Stella Gasper  (379)
Student Count 16

401D Speech               Period 6
  Autumn Marblemaw  (410)
  Brooklyn Ellis  (497)
  Caleb Gray  (445)
  Cameron Beckett  (487)
  Christopher Cyprus  (459)
  Eli West  (427)
  Ella Fellowes  (486)
  Emery Dagon  (439)
  John Lennon  (396)
  Kennedy Hansley  (493)
  Leonardo Katz  (437)
  Levi West  (476)
  Lincoln Elrod  (457)
  Logan Raven  (466)
  Mia Moses  (438)
  Riley Carter  (472)
  Willow Crawford  (377)
Student Count 17

401E Speech               Period 2
  Adrian Cromwell  (474)
  Benjamin Driscoll  (448)
  Benjamin Singh  (388)
