
101A English              Period 4
  Anthony Gannon  (128)
  Aubrey James  (216)
  Chloe Adler  (163)
  Cooper Carter  (179)
  Cooper Solace  (169)
  Cora Hansley  (187)
  Daniel Beckett  (220)
  Easton Ashley  (185)
  Ellie Ellis  (250)
  Ezra Vespertine  (126)
  Jack Beckett  (228)
  Liliana Carter  (171)
  Miles Gasper  (154)
  Naomi Mintz  (215)
  Ryan Poverly  (176)
  Serenity Carter  (135)
  Xavier Humblecut  (198)
Student Count 20

203G Biology 2            Period 6
  Adeline Hydrafist  (212)
  Anthony Zimmerman  (150)
  Bennett Sagespark  (231)
  Claire Biddercombe  (157)
  Eli Hendrix  (229)
  Elias Beckett  (153)
  Everleigh Gray  (224)
  Ivy Solace  (144)
  Jacob Gonzales  (189)
  John Strongblossom  (205)
  Kennedy Hart  (237)
  Lillian Fleet  (132)
  Madelyn Jenkins  (244)
  Maverick Thatcher  (192)
  Parker Undergrove  (156)
  Raelynn Caskcut  (191)
  Riley Madden  (152)
  Ruby Hydrafist  (137)
Student Count 18

204A US Government        Period 4
  Anthony Strongblossom  (181)
  Ayla Carter  (249)
  Cooper Solace  (169)
  Elijah Madden  (161)
  Elizabeth Bardot  (138)
  Ivy Solace  (144)
  Jacob Gonzales  (189)
  Jayden Beam  (203)
  Josephine Strongblossom  (145)
  Joshua Yearwood  (204)
  Julian Undergrove  (180)
  Kennedy Hart  (237)
  Nathan Huxley  (217)
  Ryan Elrod  (164)
  Ryan Poverly  (176)
  Walker Sharpe  (155)
  Zoey Gorestriker  (248)
Student Count 17

204B US Government        Period 1
  Aaron Keller  (242)
  Alice Crawford  (177)
  Angel Fleet  (238)
  Anna Spade  (172)
  Anthony Gannon  (128)
  Anthony Zimmerman  (150)
  Athena Woodgrip  (168)
  Elias Beckett  (153)
  Eloise Adams  (213)
  Emily Bardot  (142)
  Everett Poverly  (182)
  Ezra Vespertine  (126)
  Greyson Adler  (202)
  Isabella Woodgrip  (222)
  Lillian Fleet  (132)
  Lydia Gasper  (143)
  Maverick Thatcher  (192)
  Miles Gasper  (154)
  Owen Remington  (151)
  Xavier Humblecut  (198)
Student Count 20

204C US Government        Period 5
  Athena Gonzales  (239)
  Aubrey James  (216)
  Daniel Beckett  (220)
  Easton Ashley  (185)
  Elias Ashley  (233)
  Jack Beckett  (228)
  Liliana Carter  (171)
  Logan Elsher  (209)
  Mateo Adair  (230)
  Maya Ashbluff  (160)
  Parker Undergrove  (156)
  Weston Hansley  (183)
Student Count 12

204D US Government        Period 3
  Adam Keller  (133)
  Adam Lopez  (207)
  Adeline Hydrafist  (212)
  Angel Gorestriker  (140)
  Audrey Madden  (149)
  Bennett Sagespark  (231)
  Brooks Marley  (195)
  Claire Biddercombe  (157)
  Eli Hendrix  (229)
  Ellie Ellis  (250)
  Everleigh Gray  (224)
  Jordan Vespertine  (232)
  Mateo Beckett  (167)
  Maverick Spade  (136)
  Maya James  (188)
  Owen Madden  (223)
  Penelope Daughtler  (227)
  Ruby Hydrafist  (137)
  Victoria Caskcut  (221)
  Weston Truthbelly  (158)
Student Count 20

204E US Government        Period 2
  Aaliyah Langley  (214)
  Brooks Caddel  (129)
  Cooper Carter  (179)
  Eli Kicklighter  (147)
  Genesis Truthbelly  (186)
  Jack Gonzales  (175)
  Madelyn Jenkins  (244)
  Mila Crassus  (184)
  Naomi Mintz  (215)
  Nathan Adair  (241)
  Nora Gorestriker  (131)
  Oliver Ashbluff  (240)
  Raelynn Caskcut  (191)
  Riley Madden  (152)
  Serenity Carter  (135)
  Thomas Gray  (141)
  Victoria Elrod  (146)
  Zoey Beam  (236)
Student Count 18

204F US Government        Period 6
  Aurora Spade  (139)
  Beau Ashford  (247)
  Benjamin Cyprus  (127)
  Brooklyn Undergrove  (234)
  Charlotte Gasper  (208)
  Chloe Adler  (163)
  Cooper Wixx  (226)
  Cora Hansley  (187)
  Eleanor Hendrix  (243)
  Elias Amos  (173)
  Gabriella Adair  (193)
  James Curran  (196)
  Jordan Spade  (197)
  Josephine Barlowe  (246)
  Luna West  (165)
  Mateo Jenkins  (200)
  Victoria Finnegan  (245)
  Wesley Finch  (225)
Student Count 18

204G US Government        Period 7
  Ava Lennon  (194)
  Brooks Gasper  (235)
  Elena Moses  (199)
  Ella Hart  (166)
  Eloise Dagon  (178)
  Emery Windward  (190)
  Everly Cassidy  (170)
  Ezekiel Kicklighter  (162)
  Greyson Beckett  (130)
  John Strongblossom  (205)
  Jonathan Gray  (159)
  Josiah Daughtler  (218)
  Levi Bardot  (219)
  Lydia Dustfinger  (148)
  Mia Sharpe  (174)
  Owen Ashford  (201)
  Theodore Fellowes  (206)
  Willow Sagespark  (134)
  Xavier Hendrix  (211)
  Xavier Sharpe  (210)
Student Count 20

211A French 2             Period 2
  Aaron Keller  (242)
  Angel Fleet  (238)
  Anthony Zimmerman  (150)
  Brooklyn Undergrove  (234)
  Cooper Wixx  (226)
  Ellie Ellis  (250)
  Emery Windward  (190)
  Emily Bardot  (142)
  Ezra Vespertine  (126)
  Isabella Woodgrip  (222)
  Josephine Barlowe  (246)
  Miles Gasper  (154)
  Theodore Fellowes  (206)
  Xavier Humblecut  (198)
Student Count 14

211B French 2             Period 6
  Aaliyah Langley  (214)
  Ava Lennon  (194)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Eloise Dagon  (178)
  Everett Poverly  (182)
  Everly Cassidy  (170)
  Ezekiel Kicklighter  (162)
  Genesis Truthbelly  (186)
  Greyson Adler  (202)
  Greyson Beckett  (130)
  Josiah Daughtler  (218)
  Mateo Adair  (230)
  Mia Sharpe  (174)
  Victoria Elrod  (146)
  Weston Truthbelly  (158)
  Willow Sagespark  (134)
  Xavier Sharpe  (210)
Student Count 18

212A Spanish 2            Period 3
  Angel Fleet  (238)
  Cooper Wixx  (226)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Eloise Dagon  (178)
  Emery Windward  (190)
  Emily Bardot  (142)
  Ezra Vespertine  (126)
  Greyson Adler  (202)
  Greyson Beckett  (130)
  Isabella Woodgrip  (222)
  Josephine Barlowe  (246)
  Josiah Daughtler  (218)
  Mateo Adair  (230)
  Miles Gasper  (154)
  Victoria Elrod  (146)
  Willow Sagespark  (134)
  Xavier Humblecut  (198)
  Xavier Sharpe  (210)
Student Count 19

212B Spanish 2            Period 4
  Aaliyah Langley  (214)
  Aaron Keller  (242)
  Anthony Zimmerman  (150)
  Ava Lennon  (194)
  Brooklyn Undergrove  (234)
  Ellie Ellis  (250)
  Everett Poverly  (182)
  Everly Cassidy  (170)
  Ezekiel Kicklighter  (162)
  Genesis Truthbelly  (186)
  Mia Sharpe  (174)
  Theodore Fellowes  (206)
  Weston Truthbelly  (158)
Student Count 13

213A Latin 2              Period 5
  Aaliyah Langley  (214)
  Aaron Keller  (242)
  Anthony Zimmerman  (150)
  Ava Lennon  (194)
  Brooklyn Undergrove  (234)
  Elizabeth Bardot  (138)
  Ella Hart  (166)
  Ellie Ellis  (250)
  Emery Windward  (190)
  Everett Poverly  (182)
  Everly Cassidy  (170)
  Ezekiel Kicklighter  (162)
  Ezra Vespertine  (126)
  Genesis Truthbelly  (186)
  Greyson Beckett  (130)
  Isabella Woodgrip  (222)
  Mia Sharpe  (174)
  Theodore Fellowes  (206)
  Weston Truthbelly  (158)
Student Count 19

213B Latin 2              Period 4
  Angel Fleet  (238)
  Cooper Wixx  (226)
  Eloise Dagon  (178)
  Emily Bardot  (142)
  Greyson Adler  (202)
  Josephine Barlowe  (246)
  Josiah Daughtler  (218)
  Mateo Adair  (230)
  Miles Gasper  (154)
  Victoria Elrod  (146)
  Willow Sagespark  (134)
  Xavier Humblecut  (198)
  Xavier Sharpe  (210)
Student Count 13

301A Composition          Period 6
  Adam Finch  (320)
  Anna Remington  (288)
  Ayla Fellowes  (331)
  Bennett Sharpe  (289)
  Caroline Wixx  (361)
  Daniel Wixx  (307)
  Ezra Curran  (283)
  Gabriel Adler  (375)
  Iris Marley  (339)
  Jade West  (342)
  Jaxon Moses  (349)
  Kinsley Truthbelly  (345)
  Lucas Dagon  (360)
  Oliver Yarrow  (335)
  Ryan Laurier  (327)
  Violet Elrod  (369)
  Waylon Biddercombe  (304)
  Waylon Driscoll  (350)
  Waylon Keller  (294)
  Wesley Adler  (278)
Student Count 20

301B Composition          Period 3
  Aiden Sagespark  (319)
  Asher Madden  (316)
  Bella Poverly  (309)
  Chloe Undergrove  (322)
  Colton Beckett  (366)
  Cora Gray  (336)
  Emery Monroe  (346)
  Ezekiel Hope  (267)
  Ezra Spade  (324)
  Henry Marblemaw  (296)
  Hudson Gonzales  (365)
  Isabella Windward  (364)
  Matthew Adair  (323)
  Nevaeh Hayes  (253)
  Nicholas Gatlin  (325)
  Noah Ashford  (348)
  Sophia Lennon  (290)
  Theo Caskcut  (285)
Student Count 18

301C Composition          Period 5
  Andrew Elsher  (260)
  Brooks Poverly  (357)
  Caroline James  (314)
  Chloe Humblecut  (347)
  Cora Beam  (268)
  Ella Moses  (279)
  Emilia Ashbluff  (373)
  Everly Langley  (371)
  Gianna Stoll  (259)
  Grace James  (372)
  Hazel Fellowes  (262)
  Jacob Huxley  (315)
  Jordan Hart  (311)
  Kinsley Ford  (291)
  Lincoln Adams  (353)
  Mateo Crassus  (351)
  Nathan Sagespark  (264)
  Nicholas Lennon  (273)
  Paisley Hope  (308)
  Samuel Adair  (333)
Student Count 20

301D Composition          Period 2
  Anna Madden  (329)
  Caleb Gray  (301)
  Colton Ellis  (284)
  Cora Wilson  (292)
  Ella Thatcher  (305)
  Gabriel Undergrove  (277)
  Isabella Moses  (363)
  Isla Lopez  (276)
  Ivy Stoll  (254)
  Josiah Elrod  (251)
  Luca Remington  (344)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (297)
  Mateo Anderson  (355)
  Micah Hansley  (337)
  Nicholas Undergrove  (281)
  Sofia Raven  (295)
  Walker Gasper  (362)
  Walker Verlice  (334)
  Zoey Beckett  (282)
Student Count 20

301E Composition          Period 7
  Adam Keller  (287)
  Adrian Anderson  (310)
  Anna Beckett  (341)
  Cameron James  (258)
  Caroline Ashbluff  (332)
  Daniel Katz  (330)
  Delilah Crassus  (293)
  Easton Vespertine  (257)
  Elena Poverly  (356)
  Eloise Gonzales  (338)
  Gianna Zimmerman  (374)
  Greyson Beam  (252)
  Isaac Collymore  (302)
  Landon Ashbluff  (265)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Mila Bozzelli  (274)
  Mila Thatcher  (306)
  Sebastian Driscoll  (326)
  Valentina Mintz  (269)
Student Count 20

301F Composition          Period 1
  Charles Ledger  (261)
  Madison Thatcher  (358)
  Nora Adams  (298)
  Penelope Truthbelly  (280)
  Savannah Dagon  (255)
  Theo Jenkins  (317)
  Violet Snakeleaf  (270)
Student Count 7

301G Composition          Period 4
  Aria Biddercombe  (266)
  Autumn Thatcher  (286)
  Daniel Crassus  (340)
  Ella Lopez  (370)
  Emery Langley  (300)
  Ian Crassus  (272)
  Isaac Remington  (275)
  Isaiah Oatrun  (328)
  John Curran  (368)
  Lucas Pierce  (321)
  Luke Gorestriker  (263)
  Mia Cassidy  (312)
  Mia Gatlin  (352)
  Mia Wilson  (343)
  Parker Ashford  (354)
  Riley Verlice  (318)
  Savannah Hope  (313)
  Skylar Lightfoot  (256)
  Victoria Stoll  (271)
  William Hydrafist  (303)
Student Count 20

302A Geometry             Period 3
  Anna Madden  (329)
  Anna Remington  (288)
  Caroline James  (314)
  Charles Ledger  (261)
  Daniel Katz  (330)
  Daniel Wixx  (307)
  Ella Moses  (279)
  Eloise Gonzales  (338)
  Emery Langley  (300)
  Greyson Beam  (252)
  Isabella Moses  (363)
  Lincoln Adams  (353)
  Mateo Anderson  (355)
  Mila Thatcher  (306)
  Sebastian Driscoll  (326)
  Sofia Raven  (295)
  William Hydrafist  (303)
Student Count 17

302B Geometry             Period 7
  Adam Finch  (320)
  Aria Biddercombe  (266)
  Bella Poverly  (309)
  Cora Gray  (336)
  Everly Langley  (371)
  Ezra Spade  (324)
  Gianna Stoll  (259)
  Hazel Fellowes  (262)
  Ian Crassus  (272)
  Iris Marley  (339)
  Mia Cassidy  (312)
  Mia Wilson  (343)
  Micah Hansley  (337)
  Nora Adams  (298)
  Oliver Yarrow  (335)
  Parker Ashford  (354)
  Riley Verlice  (318)
  Samuel Adair  (333)
  Walker Verlice  (334)
  Waylon Driscoll  (350)
Student Count 20

302C Geometry             Period 6
  Aiden Sagespark  (319)
  Cora Beam  (268)
  Elena Poverly  (356)
  Ella Lopez  (370)
  Emery Monroe  (346)
  Ezekiel Hope  (267)
  Henry Marblemaw  (296)
  Isaac Collymore  (302)
  Isaac Remington  (275)
  Isabella Windward  (364)
  Ivy Stoll  (254)
  Jacob Huxley  (315)
  Luca Remington  (344)
  Mia Gatlin  (352)
  Nevaeh Hayes  (253)
  Paisley Hope  (308)
  Penelope Truthbelly  (280)
  Savannah Dagon  (255)
  Savannah Hope  (313)
  Theo Jenkins  (317)
Student Count 20

302D Geometry             Period 1
  Adrian Anderson  (310)
  Anna Beckett  (341)
  Ayla Fellowes  (331)
  Brooks Poverly  (357)
  Chloe Humblecut  (347)
  Chloe Undergrove  (322)
  Emilia Ashbluff  (373)
  Grace James  (372)
  Jade West  (342)
  John Curran  (368)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Luke Gorestriker  (263)
  Nathan Sagespark  (264)
  Nicholas Undergrove  (281)
  Theo Caskcut  (285)
  Victoria Stoll  (271)
  Waylon Biddercombe  (304)
Student Count 18

302E Geometry             Period 2
  Caroline Wixx  (361)
  Ezra Curran  (283)
  Hudson Gonzales  (365)
  Jaxon Moses  (349)
  Kinsley Truthbelly  (345)
  Lucas Dagon  (360)
  Lucas Pierce  (321)
  Mateo Crassus  (351)
  Matthew Adair  (323)
  Mila Bozzelli  (274)
  Nicholas Gatlin  (325)
  Skylar Lightfoot  (256)
  Violet Elrod  (369)
  Violet Snakeleaf  (270)
Student Count 14

302F Geometry             Period 5
  Asher Madden  (316)
  Autumn Thatcher  (286)
  Caroline Ashbluff  (332)
  Daniel Crassus  (340)
  Ella Thatcher  (305)
  Gabriel Adler  (375)
  Gabriel Undergrove  (277)
  Isaiah Oatrun  (328)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Noah Ashford  (348)
  Ryan Laurier  (327)
  Sophia Lennon  (290)
  Valentina Mintz  (269)
  Waylon Keller  (294)
  Zoey Beckett  (282)
Student Count 16

302G Geometry             Period 4
  Adam Keller  (287)
  Andrew Elsher  (260)
  Bennett Sharpe  (289)
  Caleb Gray  (301)
  Cameron James  (258)
  Colton Beckett  (366)
  Colton Ellis  (284)
  Cora Wilson  (292)
  Delilah Crassus  (293)
  Easton Vespertine  (257)
  Gianna Zimmerman  (374)
  Isla Lopez  (276)
  Jordan Hart  (311)
  Landon Ashbluff  (265)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (297)
  Madison Thatcher  (358)
  Nicholas Lennon  (273)
  Walker Gasper  (362)
  Wesley Adler  (278)
Student Count 20

303A Chemistry            Period 3
  Adam Finch  (320)
  Adam Keller  (287)
  Adrian Anderson  (310)
  Brooks Poverly  (357)
  Caleb Gray  (301)
  Caroline Wixx  (361)
  Cora Beam  (268)
  Delilah Crassus  (293)
  Ella Thatcher  (305)
  Grace James  (372)
  Isaac Collymore  (302)
  Jaxon Moses  (349)
  Jordan Hart  (311)
  Lucas Pierce  (321)
  Mia Gatlin  (352)
  Savannah Hope  (313)
  Walker Verlice  (334)
Student Count 17

303B Chemistry            Period 6
  Aria Biddercombe  (266)
  Asher Madden  (316)
  Bella Poverly  (309)
  Cameron James  (258)
  Caroline Ashbluff  (332)
  Cora Wilson  (292)
  Daniel Crassus  (340)
  Everly Langley  (371)
  Isla Lopez  (276)
  John Curran  (368)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Riley Verlice  (318)
  Sofia Raven  (295)
  Victoria Stoll  (271)
  William Hydrafist  (303)
Student Count 18

303C Chemistry            Period 2
  Aiden Sagespark  (319)
  Anna Beckett  (341)
  Colton Beckett  (366)
  Easton Vespertine  (257)
  Ella Lopez  (370)
  Eloise Gonzales  (338)
  Emilia Ashbluff  (373)
  Gabriel Adler  (375)
  Gianna Zimmerman  (374)
  Isaiah Oatrun  (328)
  Jade West  (342)
  Paisley Hope  (308)
  Samuel Adair  (333)
  Sophia Lennon  (290)
  Valentina Mintz  (269)
  Wesley Adler  (278)
Student Count 16

303D Chemistry            Period 4
  Caroline James  (314)
  Charles Ledger  (261)
  Chloe Undergrove  (322)
  Cora Gray  (336)
  Daniel Wixx  (307)
  Ella Moses  (279)
  Ezra Curran  (283)
  Gianna Stoll  (259)
  Greyson Beam  (252)
  Henry Marblemaw  (296)
  Iris Marley  (339)
  Ivy Stoll  (254)
  Matthew Adair  (323)
  Mila Bozzelli  (274)
  Noah Ashford  (348)
  Nora Adams  (298)
  Penelope Truthbelly  (280)
  Sebastian Driscoll  (326)
  Waylon Driscoll  (350)
  Waylon Keller  (294)
Student Count 20

303E Chemistry            Period 1
  Anna Madden  (329)
  Daniel Katz  (330)
  Emery Monroe  (346)
  Ezra Spade  (324)
  Gabriel Undergrove  (277)
  Hazel Fellowes  (262)
  Isaac Remington  (275)
  Jacob Huxley  (315)
  Kinsley Truthbelly  (345)
  Landon Ashbluff  (265)
  Luca Remington  (344)
  Lucas Dagon  (360)
  Mateo Crassus  (351)
  Mia Cassidy  (312)
  Mia Wilson  (343)
  Mila Thatcher  (306)
  Nevaeh Hayes  (253)
  Nicholas Lennon  (273)
  Oliver Yarrow  (335)
  Walker Gasper  (362)
Student Count 20

303F Chemistry            Period 7
  Andrew Elsher  (260)
  Anna Remington  (288)
  Autumn Thatcher  (286)
  Chloe Humblecut  (347)
  Ezekiel Hope  (267)
  Lincoln Adams  (353)
  Luke Gorestriker  (297)
  Madison Thatcher  (358)
  Nathan Sagespark  (264)
  Nicholas Gatlin  (325)
  Nicholas Undergrove  (281)
  Ryan Laurier  (327)
  Theo Jenkins  (317)
  Violet Elrod  (369)
  Zoey Beckett  (282)
Student Count 15

303G Chemistry            Period 5
  Ayla Fellowes  (331)
  Bennett Sharpe  (289)
  Colton Ellis  (284)
  Elena Poverly  (356)
  Emery Langley  (300)
  Hudson Gonzales  (365)
  Ian Crassus  (272)
  Isabella Moses  (363)
  Isabella Windward  (364)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (263)
  Mateo Anderson  (355)
  Micah Hansley  (337)
  Parker Ashford  (354)
  Savannah Dagon  (255)
  Skylar Lightfoot  (256)
  Theo Caskcut  (285)
  Violet Snakeleaf  (270)
  Waylon Biddercombe  (304)
Student Count 19

304A World History        Period 7
  Caleb Gray  (301)
  Caroline Wixx  (361)
  Colton Beckett  (366)
  Ella Lopez  (370)
  Emilia Ashbluff  (373)
  Hudson Gonzales  (365)
  Jacob Huxley  (315)
  Kinsley Ford  (291)
  Mia Gatlin  (352)
  Victoria Stoll  (271)
  William Hydrafist  (303)
Student Count 11

304B World History        Period 3
  Caroline Ashbluff  (332)
  Everly Langley  (371)
  Ian Crassus  (272)
  Isla Lopez  (276)
  Kinsley Truthbelly  (345)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Nathan Sagespark  (264)
  Paisley Hope  (308)
  Ryan Laurier  (327)
  Violet Elrod  (369)
  Violet Snakeleaf  (270)
  Walker Gasper  (362)
  Waylon Biddercombe  (304)
Student Count 14

304C World History        Period 6
  Adam Keller  (287)
  Andrew Elsher  (260)
  Brooks Poverly  (357)
  Chloe Humblecut  (347)
  Cora Gray  (336)
  Ella Thatcher  (305)
  Emery Langley  (300)
  Gianna Stoll  (259)
  Hazel Fellowes  (262)
  Isabella Moses  (363)
  Isaiah Oatrun  (328)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (263)
  Matthew Adair  (323)
  Mia Cassidy  (312)
  Mia Wilson  (343)
  Nicholas Lennon  (273)
  Parker Ashford  (354)
  Valentina Mintz  (269)
  Walker Verlice  (334)
Student Count 20

304D World History        Period 4
  Adam Finch  (320)
  Adrian Anderson  (310)
  Anna Beckett  (341)
  Anna Madden  (329)
  Asher Madden  (316)
  Bella Poverly  (309)
  Emery Monroe  (346)
  Ezekiel Hope  (267)
  Ezra Spade  (324)
  Gabriel Undergrove  (277)
  Jade West  (342)
  Josiah Elrod  (251)
  Luca Remington  (344)
  Mateo Anderson  (355)
  Mateo Crassus  (351)
  Micah Hansley  (337)
  Nicholas Gatlin  (325)
  Samuel Adair  (333)
  Savannah Dagon  (255)
  Zoey Beckett  (282)
Student Count 20

304E World History        Period 1
  Autumn Thatcher  (286)
  Cameron James  (258)
  Colton Ellis  (284)
  Daniel Crassus  (340)
  Easton Vespertine  (257)
  Elena Poverly  (356)
  Ezra Curran  (283)
  Gabriel Adler  (375)
  Greyson Beam  (252)
  Henry Marblemaw  (296)
  Iris Marley  (339)
  Isaac Collymore  (302)
  Ivy Stoll  (254)
  Jaxon Moses  (349)
  Lincoln Adams  (353)
  Luke Gorestriker  (297)
  Sebastian Driscoll  (326)
  Skylar Lightfoot  (256)
  Sophia Lennon  (290)
  Waylon Driscoll  (350)
Student Count 20

304F World History        Period 5
  Aiden Sagespark  (319)
  Anna Remington  (288)
  Charles Ledger  (261)
  Chloe Undergrove  (322)
  Cora Wilson  (292)
  Daniel Katz  (330)
  Daniel Wixx  (307)
  Eloise Gonzales  (338)
  Gianna Zimmerman  (374)
  John Curran  (368)
  Lucas Dagon  (360)
  Lucas Pierce  (321)
  Mila Bozzelli  (274)
  Nicholas Undergrove  (281)
  Nora Adams  (298)
  Oliver Yarrow  (335)
  Penelope Truthbelly  (280)
  Riley Verlice  (318)
  Sofia Raven  (295)
  Wesley Adler  (278)
Student Count 20

304G World History        Period 2
  Aria Biddercombe  (266)
  Ayla Fellowes  (331)
  Bennett Sharpe  (289)
  Caroline James  (314)
  Cora Beam  (268)
  Delilah Crassus  (293)
  Ella Moses  (279)
  Grace James  (372)
  Isaac Remington  (275)
  Isabella Windward  (364)
  Jordan Hart  (311)
  Landon Ashbluff  (265)
  Madison Thatcher  (358)
  Mila Thatcher  (306)
  Nevaeh Hayes  (253)
  Noah Ashford  (348)
  Savannah Hope  (313)
  Theo Caskcut  (285)
  Theo Jenkins  (317)
  Waylon Keller  (294)
Student Count 20

311A French 3             Period 1
  Adam Keller  (287)
  Aiden Sagespark  (319)
  Daniel Wixx  (307)
  Ella Moses  (279)
  Everly Langley  (371)
  Ezekiel Hope  (267)
  Isabella Moses  (363)
  Jordan Hart  (311)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Mateo Anderson  (355)
  Matthew Adair  (323)
  Ryan Laurier  (327)
  Sofia Raven  (295)
  William Hydrafist  (303)
Student Count 15

311B French 3             Period 3
  Ayla Fellowes  (331)
  Chloe Humblecut  (347)
  Ezra Curran  (283)
  Gabriel Adler  (375)
  Gianna Stoll  (259)
  Iris Marley  (339)
  Isaac Remington  (275)
  Jacob Huxley  (315)
  Josiah Elrod  (251)
  Kinsley Ford  (291)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (263)
  Mateo Crassus  (351)
  Mia Wilson  (343)
  Oliver Yarrow  (335)
  Savannah Dagon  (255)
  Victoria Stoll  (271)
Student Count 17

312A Spanish 3            Period 7
  Aiden Sagespark  (319)
  Ayla Fellowes  (331)
  Daniel Wixx  (307)
  Ella Moses  (279)
  Ezra Curran  (283)
  Gabriel Adler  (375)
  Isaac Remington  (275)
  Isabella Moses  (363)
  Jordan Hart  (311)
  Josiah Elrod  (251)
  Lucy Zimmerman  (299)
  Luke Gorestriker  (263)
  Mateo Anderson  (355)
  Mateo Crassus  (351)
  Matthew Adair  (323)
  Sofia Raven  (295)
Student Count 16

312B Spanish 3            Period 2
  Adam Keller  (287)
  Chloe Humblecut  (347)
  Everly Langley  (371)
  Ezekiel Hope  (267)
  Gianna Stoll  (259)
  Iris Marley  (339)
  Jacob Huxley  (315)
  Kinsley Ford  (291)
  Leonardo Wilson  (367)
  Mason Elrod  (359)
  Mia Wilson  (343)
  Oliver Yarrow  (335)
  Ryan Laurier  (327)
  Savannah Dagon  (255)
  Victoria Stoll  (271)
  William Hydrafist  (303)
Student Count 16

313A Latin 3              Period 7
  Asher Madden  (316)
  Colton Ellis  (284)
  Cora Beam  (268)
  Cora Wilson  (292)
  Daniel Crassus  (340)
  Grace James  (372)
  Henry Marblemaw  (296)
  Isabella Windward  (364)
  Isaiah Oatrun  (328)
  Isla Lopez  (276)
  Luca Remington  (344)
  Lucas Dagon  (360)
  Noah Ashford  (348)
  Paisley Hope  (308)
  Penelope Truthbelly  (280)
  Skylar Lightfoot  (256)
  Waylon Biddercombe  (304)
Student Count 17

313B Latin 3              Period 2
  Adam Finch  (320)
  Andrew Elsher  (260)
  Anna Remington  (288)
  Caroline Ashbluff  (332)
  Cora Gray  (336)
  Elena Poverly  (356)
  Emery Langley  (300)
  Ezra Spade  (324)
  Greyson Beam  (252)
  Ian Crassus  (272)
  John Curran  (368)
  Mia Cassidy  (312)
  Mia Gatlin  (352)
  Nathan Sagespark  (264)
Student Count 14

401A Speech               Period 2
  Avery Dustfinger  (455)
  Benjamin Snakeleaf  (478)
  Caleb Lennon  (422)
  Caleb Undergrove  (452)
  Ella Gannon  (460)
  Emery Dagon  (439)
  Gabriella Beam  (436)
  Jackson Truthbelly  (453)
  Julian Jenkins  (389)
  Kai Ashbluff  (391)
  Kennedy Ashbluff  (450)
  Levi West  (476)
  Logan Raven  (466)
  Micah West  (433)
  Santiago Ford  (449)
  Wesley Cyprus  (462)
Student Count 16

401B Speech               Period 4
  Aaron Singh  (467)
  Delilah Keller  (376)
  Grayson Gannon  (490)
  Isabella Madison  (418)
  Isla Gatlin  (382)
  Jordan Lopez  (405)
  Josephine Yarrow  (424)
  Kinsley Windward  (447)
  Leonardo Sagespark  (454)
  Micah Beam  (463)
  Paisley Ledger  (381)
  Riley Carter  (472)
  Ryan Remington  (499)
  Ryan Zimmerman  (491)
  Sebastian Caddel  (415)
  Skylar Finch  (441)
  Stella Gasper  (379)
  Waylon Caskcut  (394)
Student Count 18

401C Speech               Period 6
  Autumn Marblemaw  (410)
  Ava Remington  (423)
  Cameron Beckett  (487)
  Charlotte Whitlock  (435)
  Delilah Vespertine  (443)
  Eleanor Singh  (470)
  Ella Fellowes  (486)
  Gianna Solace  (496)
  Ian Adler  (456)
  Jack Madden  (500)
  Jackson Kicklighter  (432)
  Joseph Mintz  (471)
  Josephine Adair  (401)
  Kinsley Driscoll  (419)
  Leo Daughtler  (413)
  Madelyn Remington  (461)
  Madison Marblemaw  (479)
  Naomi Adams  (481)
  Ruby Adler  (402)
  Scarlett Cassidy  (442)
Student Count 20

401D Speech               Period 1
  Athena Bozzelli  (495)
  Aubrey Kicklighter  (477)
  Ayla James  (489)
  Bennett Laurier  (417)
  Christopher Cyprus  (459)
  Dylan Gorestriker  (393)
  Jackson Ashley  (465)
  James Cassidy  (488)
  John Lennon  (396)
  Kennedy Hansley  (493)
  Liam Windward  (408)
  Lucas Curran  (426)
  Maria Cyprus  (469)
  Maya Bardot  (420)
  Parker Whitlock  (390)
Student Count 15

401E Speech               Period 5
  Adrian Cromwell  (474)
  Aiden Gorestriker  (444)
  Benjamin Driscoll  (448)
  Elena Singh  (412)
  Eli West  (427)
  Gianna Caddel  (480)
  Grayson Ashbluff  (430)
  Jackson Laurier  (446)
  Jaxon Yearwood  (403)
  Jordan Woodgrip  (383)
  Kennedy Yarrow  (498)
  Lily Hendrix  (384)
  Natalia Gorestriker  (416)
